City,Month,AvgTemperature
Beijing,12,88.7
Beijing,12,82.76
Beijing,12,92.12
Beijing,12,91.04
Beijing,12,82.04
Beijing,12,79.7
Beijing,12,87.8
Beijing,12,84.38
Beijing,12,84.56
Beijing,12,82.58
Beijing,12,76.82
Beijing,12,72.86
Beijing,12,78.98
Beijing,1,75.2
Beijing,1,85.64
Beijing,1,84.2
Beijing,1,89.42
Beijing,1,86.72
Beijing,1,91.04
Beijing,1,92.66
Beijing,1,98.42
Beijing,1,90.68
Beijing,1,81.68
Beijing,1,86.9
Beijing,1,95
Beijing,1,84.2
Beijing,1,82.76
Beijing,1,79.88
Beijing,1,84.38
Beijing,1,81.32
Beijing,1,82.04
Beijing,1,70.7
Beijing,1,69.62
Beijing,1,73.22
Beijing,1,68.18
Beijing,1,67.46
Beijing,1,78.62
Beijing,1,80.24
Beijing,1,90.86
Beijing,1,83.48
Beijing,1,84.56
Beijing,1,75.38
Beijing,1,82.58
Beijing,1,84.74
Beijing,2,79.52
Beijing,2,82.04
Beijing,2,90.14
Beijing,2,100.22
Beijing,2,102.02
Beijing,2,91.04
Beijing,2,83.3
Beijing,2,87.26
Beijing,2,86.72
Beijing,2,91.58
Beijing,2,90.32
Beijing,2,92.48
Beijing,2,100.76
Beijing,2,86.18
Beijing,2,97.7
Beijing,2,101.48
Beijing,2,92.84
Beijing,2,100.94
Beijing,2,105.8
Beijing,2,87.08
Beijing,2,82.04
Beijing,2,94.46
Beijing,2,101.48
Beijing,2,109.94
Beijing,2,107.24
Beijing,2,107.78
Beijing,2,116.6
Beijing,2,122.18
Beijing,3,100.04
Beijing,3,108.68
Beijing,3,108.86
Beijing,3,111.92
Beijing,3,102.2
Beijing,3,99.68
Beijing,3,104
Beijing,3,118.76
Beijing,3,120.02
Beijing,3,127.76
Beijing,3,131
Beijing,3,111.74
Beijing,3,117.32
Beijing,3,118.94
Beijing,3,114.26
Beijing,3,123.98
Beijing,3,118.94
Beijing,3,128.48
Beijing,3,129.92
Beijing,3,112.82
Beijing,3,119.12
Beijing,3,122.72
Beijing,3,108.86
Beijing,3,100.4
Beijing,3,120.92
Beijing,3,120.38
Beijing,3,123.26
Beijing,3,123.26
Beijing,3,131.54
Beijing,3,127.58
Beijing,3,129.38
Beijing,4,134.06
Beijing,4,135.86
Beijing,4,146.48
Beijing,4,143.24
Beijing,4,138.74
Beijing,4,148.1
Beijing,4,135.14
Beijing,4,132.8
Beijing,4,135.32
Beijing,4,139.28
Beijing,4,133.34
Beijing,4,137.84
Beijing,4,135.14
Beijing,4,148.64
Beijing,4,164.48
Beijing,4,146.48
Beijing,4,156.2
Beijing,4,141.44
Beijing,4,122.72
Beijing,4,141.26
Beijing,4,143.6
Beijing,4,155.84
Beijing,4,144.14
Beijing,4,145.76
Beijing,4,133.34
Beijing,4,150.8
Beijing,4,165.38
Beijing,4,171.5
Beijing,4,172.4
Beijing,4,157.64
Beijing,5,154.04
Beijing,5,163.94
Beijing,5,156.02
Beijing,5,158.54
Beijing,5,140.72
Beijing,5,156.74
Beijing,5,167
Beijing,5,166.82
Beijing,5,157.64
Beijing,5,166.1
Beijing,5,158.72
Beijing,5,162.32
Beijing,5,165.38
Beijing,5,160.52
Beijing,5,162.14
Beijing,5,170.96
Beijing,5,171.68
Beijing,5,182.84
Beijing,5,183.56
Beijing,5,180.32
Beijing,5,166.82
Beijing,5,141.26
Beijing,5,162.86
Beijing,5,175.64
Beijing,5,163.94
Beijing,5,163.04
Beijing,5,169.52
Beijing,5,184.82
Beijing,5,160.88
Beijing,5,159.08
Beijing,5,171.86
Beijing,6,171.86
Beijing,6,146.3
Beijing,6,161.24
Beijing,6,171.32
Beijing,6,168.08
Beijing,6,144.32
Beijing,6,166.46
Beijing,6,171.14
Beijing,6,180.5
Beijing,6,165.56
Beijing,6,167
Beijing,6,163.76
Beijing,6,160.7
Beijing,6,182.3
Beijing,6,190.58
Beijing,6,192.38
Beijing,6,189.14
Beijing,6,176.54
Beijing,6,181.22
Beijing,6,181.58
Beijing,6,172.94
Beijing,6,154.94
Beijing,6,152.42
Beijing,6,162.14
Beijing,6,169.16
Beijing,6,183.2
Beijing,6,181.22
Beijing,6,182.66
Beijing,6,184.64
Beijing,6,185.9
Beijing,7,186.44
Beijing,7,181.94
Beijing,7,178.88
Beijing,7,172.22
Beijing,7,180.5
Beijing,7,165.38
Beijing,7,173.66
Beijing,7,180.14
Beijing,7,185.72
Beijing,7,185.18
Beijing,7,184.46
Beijing,7,192.2
Beijing,7,186.98
Beijing,7,179.78
Beijing,7,177.44
Beijing,7,184.46
Beijing,7,182.84
Beijing,7,179.42
Beijing,7,183.92
Beijing,7,182.48
Beijing,7,163.22
Beijing,7,170.78
Beijing,7,172.76
Beijing,7,174.2
Beijing,7,175.82
Beijing,7,159.26
Beijing,7,171.68
Beijing,7,173.66
Beijing,7,169.34
Beijing,7,173.84
Beijing,7,178.7
Beijing,8,180.86
Beijing,8,177.08
Beijing,8,188.6
Beijing,8,188.24
Beijing,8,178.16
Beijing,8,185.9
Beijing,8,186.08
Beijing,8,176
Beijing,8,170.42
Beijing,8,180.68
Beijing,8,171.5
Beijing,8,163.04
Beijing,8,167.9
Beijing,8,175.1
Beijing,8,177.98
Beijing,8,167
Beijing,8,174.2
Beijing,8,170.06
Beijing,8,170.96
Beijing,8,176
